table_type,table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_total_reference_status_cd,95,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_reference_status_cd,96,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_total_incompletion_status_cd,97,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_overall_billing_status_cd,98,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_reason_cd,99,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_record_create_dt,100,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_record_create_tm,101,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_total_goods_movement_status_cd,102,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sold_to_party_contract_partner_order_nbr,103,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,super_geo_cd,104,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
